Event	ID	Name			Wwise Object Path	Notes
	231747402	PlayerAttackLight			\Default Work Unit\Level 1\Player\PlayerAttackLight	
	410952847	PlayerParryHit			\Default Work Unit\Level 1\Player\PlayerParryHit	
	667982098	PlayerRespawn			\Default Work Unit\Level 1\Player\PlayerRespawn	
	852912510	EnemyArcherTightBow			\Default Work Unit\Level 1\Enemy\EnemyArcherTightBow	
	1108892891	EnemyArcherReleaseBow			\Default Work Unit\Level 1\Enemy\EnemyArcherReleaseBow	
	1298389756	SelectAttSame			\Default Work Unit\Level 1\Player\SelectAttSame	
	1391803776	RoomNewEnter			\Default Work Unit\Level 1\General\RoomNewEnter	
	1481017468	BossDeath			\Default Work Unit\Level 1\Enemy\BossDeath	
	1656947812	PlayerDeath			\Default Work Unit\Level 1\Player\PlayerDeath	
	1787276729	BossSwordAttack			\Default Work Unit\Level 1\Enemy\BossSwordAttack	
	1974576135	RoomClear			\Default Work Unit\Level 1\General\RoomClear	
	2212241627	ArrowHit			\Default Work Unit\Level 1\General\ArrowHit	
	2525052962	PlayerDash			\Default Work Unit\Level 1\Player\PlayerDash	
	2564847700	EnemyMeleeSwordAttack			\Default Work Unit\Level 1\Enemy\EnemyMeleeSwordAttack	
	3914790867	PlayerAttackHeavy			\Default Work Unit\Level 1\Player\PlayerAttackHeavy	
	4149955699	RoomBossEnter			\Default Work Unit\Level 1\General\RoomBossEnter	
	4283005579	SelectAttA			\Default Work Unit\Level 1\Player\SelectAttA	
	4283005586	SelectAttX			\Default Work Unit\Level 1\Player\SelectAttX	

Effect plug-ins	ID	Name	Type				Notes
	2995775460	Room_Small	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	39096638	Fast Action Swish_HW 05 05	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\Fast Action Swish_HW 05_6834E64F.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\AttackLight\Fast Action Swish_HW 05 05		3552
	94429121	SelectA	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\foley_soldier_gear_equipment_metal_cloth_heavy_movement_light_08_5917123F.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\SelectA		12194
	95295155	Fast Action Swish_HW 05 01	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\Fast Action Swish_HW 05_6DCBCFBE.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\AttackHeavy\Fast Action Swish_HW 05 01		5241
	105129647	Fast Action Swish_HW 05 02	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\Fast Action Swish_HW 05_89C14A12.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\AttackLight\Fast Action Swish_HW 05 02		5054
	132279201	StartFire	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\StartFire_6296B0F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Map\StartFire		40294
	161662147	PlayerDeath	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\Player_Death_6296B0F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\PlayerDeath		27241
	235818575	Fast Action Swish_HW 05 04	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\Fast Action Swish_HW 05_8D65838A.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\AttackLight\Fast Action Swish_HW 05 04		4521
	294602468	SelectX	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\foley_soldier_gear_equipment_metal_cloth_heavy_movement_light_08_41EB133A.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\SelectX		12194
	319793680	BossScream	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\BossScream_6296B0F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\BossScream		30457
	351713597	ThreeTaiko	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\Taiko_6296B0F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Map\ThreeTaiko		25732
	409313674	SelectSame	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\button_002_6296B0F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\SelectSame		2680
	457148846	BossSwordAttackHeavy	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\Whoosh_Rod_Pole_022 48000_6296B0F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\BossSwordAttack\BossSwordAttackHeavy		14269
	665658802	BowTight	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\Bow Pull_6296B0F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\BowTight		4672
	704732684	Fast Action Swish_HW 05 03	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\Fast Action Swish_HW 05_09A61629.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\AttackHeavy\Fast Action Swish_HW 05 03		4907
	863462329	Parry 1	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\Parry_E44AB410.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\PlayerParryHit\Parry 1		22200
	883326382	ArrowHit	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\bullet_impact_ice_06_6296B0F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\ArrowHit		17171
	961964107	BowRelease	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\Arrow Throw_6296B0F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\BowRelease		7796
	987255469	sfx_Swing1	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\sfx_Swing1_6296B0F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\MeleeSwordAttack\sfx_Swing1		3232
	988170954	sfx_Swing2	C:\Users\Usuario\Desktop\6to Cuatrimestre\Produccion de Videojuegos\Brightstone\Brightstone\Brightstone_WwiseProject\.cache\Mac\SFX\sfx_Swing2_6296B0F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\MeleeSwordAttack\sfx_Swing2		3226

